Index,Repository,URL,Stars,Year,Expected_Vuln_Type,Has_HNP_Issue,Total_Findings,File_Path,Line_Number,Problem_Type,Sink_Type,Sink_Function,Exploit_Scenario,Risk_Level,Source_Code,Context,Status
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\AliyunFC.php,59,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\AliyunFC.php,61,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\BaiduCFC.php,48,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\BaiduCFC.php,50,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\Heroku.php,32,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\Heroku.php,181,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\Heroku.php,181,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\HuaweiFG_env.php,50,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\HuaweiFG_env.php,71,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\platform\HuaweiFG_file.php,50,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
