Index,Repository,URL,Stars,Year,Matched Function
85,duoergun0729/1book,https://github.com/duoergun0729/1book,911,2017,php_dangerous_url_construction_server_name (No defense)
86,webshellpub/awsome-webshell,https://github.com/webshellpub/awsome-webshell,223,2017,php_dangerous_url_construction_server_name (No defense)
87,crunchbutton/crunchbutton,https://github.com/crunchbutton/crunchbutton,100,2017,php_dangerous_url_construction_http (No defense)
88,gongfuxiang/schoolcms,https://github.com/gongfuxiang/schoolcms,274,2017,php_dangerous_url_construction_http (No defense)
89,EwingYangs/weixin-order,https://github.com/EwingYangs/weixin-order,159,2017,php_dangerous_url_construction_server_name (No defense)
90,Really-Simple-Plugins/really-simple-ssl,https://github.com/Really-Simple-Plugins/really-simple-ssl,157,2017,php_dangerous_url_construction_https (No defense)
91,elementor/wp2static,https://github.com/elementor/wp2static,1455,2016,php_dangerous_url_construction_https (No defense)
92,opsxcq/exploit-CVE-2016-10033,https://github.com/opsxcq/exploit-CVE-2016-10033,403,2016,php_dangerous_url_construction_http (No defense)
93,litespeedtech/lscache_wp,https://github.com/litespeedtech/lscache_wp,240,2016,php_dangerous_url_construction_http (No defense)
94,ackintosh/ganesha,https://github.com/ackintosh/ganesha,635,2016,php_dangerous_url_construction_http (No defense)
95,jordansamuel/PASTE,https://github.com/jordansamuel/PASTE,300,2016,php_dangerous_url_construction_http (No defense)
96,opsxcq/docker-vulnerable-dvwa,https://github.com/opsxcq/docker-vulnerable-dvwa,217,2016,php_dangerous_url_construction_server_name (No defense)
97,itswuanran/yii2-tech,https://github.com/itswuanran/yii2-tech,194,2016,php_dangerous_url_construction_http (No defense)
98,steverhoades/oauth2-openid-connect-server,https://github.com/steverhoades/oauth2-openid-connect-server,204,2016,php_dangerous_url_construction_https (No defense)
99,jimersylee/thinkphp3.2-seed,https://github.com/jimersylee/thinkphp3.2-seed,215,2016,php_dangerous_url_construction_http (No defense)
100,kirilkirkov/Ecommerce-CodeIgniter-Bootstrap,https://github.com/kirilkirkov/Ecommerce-CodeIgniter-Bootstrap,1375,2016,php_dangerous_url_construction_http (No defense)
101,azureappserviceoss/wordpress-azure,https://github.com/azureappserviceoss/wordpress-azure,119,2016,php_dangerous_url_construction_https (No defense)
102,idoubi/douchat,https://github.com/idoubi/douchat,270,2016,php_dangerous_url_construction_http (No defense)
103,svhawks/Sendy-Docker,https://github.com/svhawks/Sendy-Docker,202,2016,php_dangerous_url_construction_http (No defense)
104,l3m0n/pentest_tools,https://github.com/l3m0n/pentest_tools,617,2016,php_dangerous_url_construction_server_name (No defense)
105,Cryin/Startblog,https://github.com/Cryin/Startblog,107,2016,php_dangerous_url_construction_server_name (No defense)
106,xiaoxinpro/xxjzWeb,https://github.com/xiaoxinpro/xxjzWeb,126,2016,php_dangerous_url_construction_http (No defense)
107,forgeekscn/sftnow,https://github.com/forgeekscn/sftnow,127,2016,php_dangerous_url_construction_http (No defense)
108,Shuyun123/AppShopService,https://github.com/Shuyun123/AppShopService,103,2016,php_dangerous_url_construction_http (No defense)
109,EFTEC/BladeOne,https://github.com/EFTEC/BladeOne,803,2016,php_dangerous_url_construction_http (No defense)
110,fecshop/yii2_fecshop,https://github.com/fecshop/yii2_fecshop,5276,2016,php_dangerous_url_construction_server_name (No defense)
111,OpenSID/OpenSID,https://github.com/OpenSID/OpenSID,1135,2016,php_dangerous_url_construction_https (No defense)
112,BlackHole1/WebRtcXSS,https://github.com/BlackHole1/WebRtcXSS,197,2016,php_dangerous_url_construction_http (No defense)
113,bartblaze/PHP-backdoors,https://github.com/bartblaze/PHP-backdoors,2241,2016,php_dangerous_url_construction_server_name (No defense)
114,baijunyao/thinkphp-bjyadmin,https://github.com/baijunyao/thinkphp-bjyadmin,1761,2016,php_dangerous_url_construction_http (No defense)
115,polylang/polylang,https://github.com/polylang/polylang,372,2016,php_dangerous_url_construction_http (No defense)
116,EGroupware/egroupware,https://github.com/EGroupware/egroupware,274,2016,php_dangerous_url_construction_https (No defense)
117,Verytops/verydows,https://github.com/Verytops/verydows,432,2016,php_dangerous_url_construction_http (No defense)
118,pwrtelegram/pwrtelegram,https://github.com/pwrtelegram/pwrtelegram,130,2016,php_dangerous_url_construction_https (No defense)
119,chuckfw/owaspbwa,https://github.com/chuckfw/owaspbwa,308,2016,php_dangerous_url_construction_server_name (No defense)
120,dzuelke/wordpress-12factor,https://github.com/dzuelke/wordpress-12factor,274,2016,php_dangerous_url_construction_http (No defense)
121,HFO4/shudong-share,https://github.com/HFO4/shudong-share,531,2015,php_dangerous_url_construction_server_name (No defense)
122,lietdai/doom,https://github.com/lietdai/doom,138,2015,php_dangerous_url_construction_http (No defense)
123,ethercreative/simplemap,https://github.com/ethercreative/simplemap,134,2015,php_dangerous_url_construction_server_name (No defense)
124,tanjiti/webshellSample,https://github.com/tanjiti/webshellSample,418,2015,php_dangerous_url_construction_server_name (No defense)
125,fengxuangit/searchku,https://github.com/fengxuangit/searchku,211,2015,php_dangerous_url_construction_http (No defense)
126,ly2513/wifi,https://github.com/ly2513/wifi,102,2015,php_dangerous_url_construction_server_name (No defense)
127,xl7dev/WebShell,https://github.com/xl7dev/WebShell,1911,2015,php_dangerous_url_construction_server_name (No defense)
128,taniarascia/oblate,https://github.com/taniarascia/oblate,123,2015,php_dangerous_url_construction_https (No defense)
129,hightman/httpclient,https://github.com/hightman/httpclient,106,2015,php_dangerous_url_construction_http (No defense)
130,Aoiujz/WechatSDK,https://github.com/Aoiujz/WechatSDK,131,2015,php_dangerous_url_construction_http (No defense)
131,alibaba/phpwind,https://github.com/alibaba/phpwind,105,2015,php_dangerous_url_construction_http (No defense)
132,fengoffice/fengoffice,https://github.com/fengoffice/fengoffice,104,2015,php_dangerous_url_construction_server_name (No defense)
133,leokhoa/laragon,https://github.com/leokhoa/laragon,5043,2015,php_dangerous_url_construction_http (No defense)
134,g0d/GreyOS,https://github.com/g0d/GreyOS,139,2015,php_dangerous_url_construction_https (No defense)
135,xiicloud/docker-training,https://github.com/xiicloud/docker-training,320,2015,php_dangerous_url_construction_https (No defense)
136,wstmall/wstmall,https://github.com/wstmall/wstmall,290,2015,php_dangerous_url_construction_http (No defense)
